Address:,USB0::0x2A8D::0x0396::CN60117105::0::INSTR,,Analog Channels,,,
Model:,DSOX1204G,,Time (s),1 (VOLT),3 (VOLT),
,,,0.130315057505,0.40201011300087,-0.403266414999962,
,,,0.130423557722,0.40201011300087,-0.604271441698074,
,,,0.130532057939,0,-0.403266414999962,
,,,0.130640558156,0.40201011300087,-0.403266414999962,
,,,0.130749058373,0.40201011300087,-0.403266414999962,
,,,0.13085755859,0.40201011300087,-0.403266414999962,
,,,0.130966058807,0.40201011300087,-0.403266414999962,
,,,0.131074559024,0,-0.403266414999962,
,,,0.131183059241,0.40201011300087,-0.403266414999962,
,,,0.131291559458,0,-0.403266414999962,
,,,0.131400059675,0,-0.403266414999962,
,,,0.131508559892,0.40201011300087,-0.202261388301849,
,,,0.131617060109,0.40201011300087,-0.403266414999962,
,,,0.131725560326,0.40201011300087,-0.403266414999962,
,,,0.131834060543,0.40201011300087,-0.403266414999962,
,,,0.13194256076,0,-0.403266414999962,
,,,0.132051060977,0,-0.403266414999962,
,,,0.132159561194,0,-0.403266414999962,
,,,0.132268061411,0.40201011300087,-0.202261388301849,
,,,0.132376561628,0.40201011300087,-0.403266414999962,
,,,0.132485061845,0,-0.403266414999962,
,,,0.132593562062,0,-0.403266414999962,
,,,0.132702062279,0,-0.403266414999962,
,,,0.132810562496,0,-0.202261388301849,
,,,0.132919062713,0,-0.604271441698074,
,,,0.13302756293,0.40201011300087,-0.604271441698074,
,,,0.133136063147,0.40201011300087,-0.403266414999962,
,,,0.133244563364,0,-0.403266414999962,
,,,0.133353063581,0,-0.604271441698074,
,,,0.133461563798,0.40201011300087,-0.403266414999962,
,,,0.133570064015,0.40201011300087,-0.604271441698074,
,,,0.133678564232,0.40201011300087,-0.604271441698074,
,,,0.133787064449,0,-0.604271441698074,
,,,0.133895564666,0,-0.604271441698074,
,,,0.134004064883,0,-0.403266414999962,
,,,0.1341125651,0,-0.604271441698074,
,,,0.134221065317,0,-0.604271441698074,
,,,0.134329565534,0,-0.604271441698074,
,,,0.134438065751,0.40201011300087,-0.604271441698074,
,,,0.134546565968,0.40201011300087,-0.604271441698074,
,,,0.134655066185,0.40201011300087,-0.604271441698074,
,,,0.134763566402,0,-0.604271441698074,
,,,0.134872066619,0.40201011300087,-0.403266414999962,
,,,0.134980566836,0,-0.604271441698074,
,,,0.135089067053,0.40201011300087,-0.604271441698074,
,,,0.13519756727,0.40201011300087,-0.604271441698074,
,,,0.135306067487,0,-0.604271441698074,
,,,0.135414567704,0.40201011300087,-0.604271441698074,
,,,0.135523067921,0.40201011300087,-0.604271441698074,
,,,0.135631568138,0.40201011300087,-0.604271441698074,
,,,0.135740068355,0.40201011300087,-0.604271441698074,
,,,0.135848568572,0.40201011300087,-0.604271441698074,
,,,0.135957068789,0.40201011300087,-0.403266414999962,
,,,0.136065569006,0,-0.403266414999962,
,,,0.136174069223,0.40201011300087,-0.604271441698074,
,,,0.13628256944,0,-0.403266414999962,
,,,0.136391069657,0,-0.604271441698074,
,,,0.136499569874,0.40201011300087,-0.403266414999962,
,,,0.136608070091,0.40201011300087,-0.403266414999962,
,,,0.136716570308,0.40201011300087,-0.604271441698074,
,,,0.136825070525,0.40201011300087,-0.403266414999962,
,,,0.136933570742,0,-0.403266414999962,
,,,0.137042070959,0.40201011300087,-0.403266414999962,
,,,0.137150571176,0,-0.403266414999962,
,,,0.137259071393,0.40201011300087,-0.202261388301849,
,,,0.13736757161,0.40201011300087,-0.403266414999962,
,,,0.137476071827,0.40201011300087,-0.403266414999962,
,,,0.137584572044,0,-0.403266414999962,
,,,0.137693072261,0.40201011300087,-0.403266414999962,
,,,0.137801572478,0,-0.403266414999962,
,,,0.137910072695,0,-0.403266414999962,
,,,0.138018572912,0,-0.403266414999962,
,,,0.138127073129,0.40201011300087,-0.403266414999962,
,,,0.138235573346,0,-0.403266414999962,
,,,0.138344073563,0.40201011300087,-0.403266414999962,
,,,0.13845257378,0,-0.403266414999962,
,,,0.138561073997,0,-0.403266414999962,
,,,0.138669574214,0.40201011300087,-0.403266414999962,
,,,0.138778074431,0,-0.403266414999962,
,,,0.138886574648,0,-0.403266414999962,
,,,0.138995074865,0,-0.202261388301849,
,,,0.139103575082,0.40201011300087,-0.403266414999962,
,,,0.139212075299,0,-0.403266414999962,
,,,0.139320575516,0.40201011300087,-0.403266414999962,
,,,0.139429075733,0.40201011300087,-0.604271441698074,
,,,0.13953757595,0.40201011300087,-0.403266414999962,
,,,0.139646076167,0,-0.604271441698074,
,,,0.139754576384,0.40201011300087,-0.202261388301849,
,,,0.139863076601,0.40201011300087,-0.403266414999962,
,,,0.139971576818,0.40201011300087,-0.403266414999962,
,,,0.140080077035,0.40201011300087,-0.403266414999962,
,,,0.140188577252,0.40201011300087,-0.604271441698074,
,,,0.140297077469,0.40201011300087,-0.403266414999962,
,,,0.140405577686,0,-0.604271441698074,
,,,0.140514077903,0.40201011300087,-0.604271441698074,
,,,0.14062257812,0.40201011300087,-0.604271441698074,
,,,0.140731078337,0.40201011300087,-0.604271441698074,
